
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> Euro
	<Currency> Euro, 1
	<Currency> Euro5, 5
	<Currency> Euro10, 10
	<Currency> Euro20, 20
	<Currency> Euro50, 50
	<Currency> Euro100, 100

<Trader> Food & Medical Trader // ID=0
	<Category> Vegetables
		Plum,										*,			30,			A
		Morphine,									*,			290,		A
	<Category> Smokes
		TobaccoSeedsPack,							*,			250,		A
		Tobacco,									*,			-1,			A
		CigarettePack_Chernamorka,					*,			-1,			A
		CigarettePack_Merkur,						*,			-1,			A
		CigarettePack_Partyzanka,					*,			-1,			A
		cigarette_mung,								*,			21,			A
		cigar_mung,									*,			30,			A
		sherlockpipe_mung,							*,			100,		A
	<Category> Money Exchange
		Euro5,										1,			5,			A
		Euro10,										1,			10,			A
		Euro20,										1,			20,			A
		Euro50,										1,			50,			A
		Euro100,									1,			100,		A
<Trader> Misc Trader // ID=1
	<Category> Tools (small)
		ChernarusMap,								*,			5,			A
		Screwdriver,								*,			75,			A
		Screwdriver_2,								*,			75,			A
		Wrench,										*,			75,			A
		SewingKit,									*,			30,			A
		Pliers,										*,			75,			A
		Pliers_Red,									*,			75,			A
		Pliers_Yellow,								*,			75,			A
		LeatherSewingKit,							*,			75,			A
		Whetstone,									*,			45,			A
		Hammer,										*,			60,			A
		Clawhammer_mung,							*,			60,			A
		Hatchet,									*,			150,		A
		MSFC_DownrangeTomahawk,						*,			100,		A
		HandSaw,									*,			120,		A
		WeaponCleaningKit,							*,			60,			A
		KitchenKnife,								*,			16,			A
		SteakKnife,									*,			18,			A
		HuntingKnife,								*,			60,			A
		CombatKnife,								*,			120,		A
		Machete,									*,			160,		A
		CanOpener,									*,			8,			A
		Vesuri_mung,								*,			200,		A
		Lockpick,									*,			40,			A
		Binoculars,									*,			60,			A
		FishingRod,									*,			120,		A
		BBP_Tape_Measure,							*,			40,			A
		ToolsRepairKit,								*,			45,			A
		WD40,										*,			320,		A
	<Category> Tools (big)
		LugWrench,									*,			8,			A
		Shovel,										*,			250,		A
		Pickaxe,									*,			200,		A
		WoodAxe,									*,			250,		A
		WoodAxe_mung,								*,			250,		A
		FirefighterAxe,								*,			250,		A
		BBP_Step_LadderKit,							*,			800,		A
	<Category> Electrical
		Battery9V,									*,			20,			A
		Battery9V_1,								*,			20,			A
		Battery9V_2,								*,			20,			A
		Battery9V_3,								*,			20,			A
		Battery9V_4,								*,			20,			A
		Motorola,									*,			240,		A
		Motorola_2,									*,			240,		A
		Motorola_3,									*,			240,		A
		Motorola_4,									*,			240,		A
		Motorola_5,									*,			240,		A
		Falcon3_Radio,								*,			400,		A
		TacSatRadio,								*,			400,		A
		TacSatBattery,								*,			125,		A
		Megaphone,									*,			200,		A
		ElectronicRepairKit,						*,			70,			A
		CableReel,									*,			240,		A
		BatteryCharger,								*,			80,			A
		Rangefinder,								*,			120,		A
		BBP_Gang_Plug,								*,			800,		A
		PowerGenerator,								*,			3000,		A
		BBP_Solar_PanelKit,							*,			15000,		A
	<Category> Fire & Lights
		Chemlight_Blue,								*,			6,			A
		Chemlight_Green,							*,			6,			A
		Chemlight_Red,								*,			6,			A
		Chemlight_White,							*,			6,			A
		Chemlight_Yellow,							*,			6,			A
		Roadflare,									*,			30,			A
		Matchbox,									*,			12,			A
		Zippo_new,									*,			240,		A
		PortableGasLamp,							*,			110,		A
		oillamp_mung,								*,			300,		A
		PortableGasStove,							*,			160,		A
		Flashlight,									*,			60,			A
		maglite_mung,								*,			240,		A
		Airam_mung,									*,			60,			A
		Headtorch_Black,							*,			80,			A
		Headtorch_Grey,								*,			80,			A
		Spotlight,									*,			1500,		A
	<Category> Cooking, Hunting & Camping Supplies
		PurificationTablets,						*,			100,		A
		Pot,										M,			200,		A
		LargePot,									M,			225,		A
		dutchoven_mung,								M,			300,		A
		OP_Charc_BBQ,								*,			1500,		A
		OP_Charcoal,								*,			250,		A
		Tripod,										*,			150,		A
		BearTrap,									*,			700,		A
		sleepingbag_green_mung,						*,			300,		A
		sleepingbag_red_mung,						*,			300,		A
		sleepingbag_yellow_mung,					*,			300,		A
		sleepingbag_blue_mung,						*,			300,		A
	<Category> Hardware Supplies
		BBP_Land_Claim_FlagKit,						*,			25000,		A
		Paper,										*,			1,			A
		Pen_Blue,									*,			6,			A
		Rope,										*,			60,			A
		MetalWire,									*,			60,			A
		EpoxyPutty,									*,			90,			A
		DuctTape,									*,			320,		A
		XmasLights,									*,			25,			A
		HandcuffKeys,								*,			70,			A
		Handcuffs,									*,			100,		A
		Netting,									1,			100,		A
		BurlapSack,									*,			50,			A
		WoodenPlank,								10,			320,		A
		MetalPlate,									*,			375,		A
		SmallGasCanister,							*,			160,		A
		MediumGasCanister,							*,			200,		A
		LargeGasCanister,							*,			400,		A
		CanisterGasoline,							*,			600,		A
		Nails,										20,			114,		A
		NailBox,									*,			400,		A
		BarbedWire,									*,			450,		A
		Camonet,									*,			600,		A
		HescoBox,									*,			650,		A
		CombinationLock,							*,			700,		A
		CombinationLock4,							*,			900,		A
		MediumTent,									*,			3000,		A
		CarTent,									*,			5000,		A
		LargeTent,									*,			7000,		A
		CodeLock,									*,			1600,		A
		BBP_Blueprint,								*,			1000,		A
		BBP_Cement,									*,			240,		A
		BBP_Mortar_Mix,								*,			240,		A
		BBP_T1_WallKit,								*,			200,		A
		BBP_T1_Wall_HalfKit,						*,			200,		A
		BBP_T1_DoorKit,								*,			300,		A
		BBP_T1_GateKit,								*,			400,		A
		BBP_T1_WindowKit,							*,			300,		A
		BBP_T1_RoofKit,								*,			200,		A
		BBP_T1_FloorKit,							*,			200,		A
		BBP_T1_Floor_HatchKit,						*,			200,		A
		BBP_T1_StairKit,							*,			300,		A
		BBP_T1_RampKit,								*,			300,		A
		BBP_T1_Ramp_WideKit,						*,			320,		A
		BBP_T1_FoundationKit,						*,			300,		A
		BBP_T2_WallKit,								*,			400,		A
		BBP_T2_Wall_HalfKit,						*,			400,		A
		BBP_T2_DoorKit,								*,			600,		A
		BBP_T2_GateKit,								*,			800,		A
		BBP_T2_WindowKit,							*,			600,		A
		BBP_T2_RoofKit,								*,			400,		A
		BBP_T2_FloorKit,							*,			400,		A
		BBP_T2_FoundationKit,						*,			600,		A
		BBP_T3_WallKit,								*,			800,		A
		BBP_T3_Wall_HalfKit,						*,			800,		A
		BBP_T3_DoorKit,								*,			1200,		A
		BBP_T3_Door_HalfKit,						*,			1000,		A
		BBP_T3_GateKit,								*,			1400,		A
		BBP_T3_WindowKit,							*,			1200,		A
		BBP_T3_RoofKit,								*,			800,		A
		BBP_T3_FloorKit,							*,			800,		A
		BBP_T3_Floor_HatchKit,						*,			800,		A
		BBP_T3_StairKit,							*,			1000,		A
		BBP_T3_FoundationKit,						*,			1000,		A
		BBP_PillarKit,								*,			200,		A
		BBP_Plaster,								*,			200,		A
		BBP_WellKit,								*,			5500,		A
	<Category> Barrels
		BarrelHoles_Blue,							*,			800,		A
		BarrelHoles_Green,							*,			800,		A
		BarrelHoles_Red,							*,			800,		A
		BarrelHoles_Yellow,							*,			800,		A
		Barrel_Blue,								M,			1500,		A
		Barrel_Green,								M,			1500,		A
		Barrel_Red,									M,			1500,		A
		Barrel_Yellow,								M,			1500,		A
		Msp_Barrel_Donation,						*,			1600,		A
		Msp_Barrel_Donation_Ammo,					*,			1600,		A
		Msp_Barrel_Donation_Guns,					*,			1600,		A
		Msp_Barrel_Donation_Food,					*,			1600,		A
		Msp_Barrel_Donation_Medical,				*,			1600,		A
		Msp_Barrel_Donation_BloodONegative,			*,			1600,		A
		Msp_WaterBarrel_Plastic,					*,			1600,		A
		Msp_WaterBarrel_Plastic_Yellow,				*,			1600,		A
		Msp_WaterBarrel_Plastic_Green,				*,			1600,		A
		Msp_WaterBarrel_Plastic_Red,				*,			1600,		A
		Msp_WaterBarrel_Plastic_Black,				*,			1600,		A
		Msp_WaterBarrel_Plastic_White,				*,			1600,		A
		Msp_WaterBarrel_Valve_Faucet,				*,			100,		A
		Msp_WaterBarrel,							*,			1600,		A
		Msp_WaterBarrel_Darkwood,					*,			1600,		A
		Msp_WaterBarrel_Stand,						*,			100,		A
		Msp_WaterBarrel_Stand_Darkwood,				*,			100,		A
		Msp_WaterBarrel_Valve,						*,			100,		A
		Msp_WaterBarrel_Valve_Darkwood,				*,			100,		A
	<Category> Base Storage
		hardigg_Mung,								*,			600,		A
		hardigg2_Mung,								*,			800,		A
		Locker,										*,			300,		A
		AmmoBox,									*,			200,		A
		Msp_LargeAmmoBox,							*,			400,		A
		SmallProtectorCase,							*,			70,			A
		Msp_AmericanAppleCrate,						*,			600,		A
		Msp_AppleCrate,								*,			600,		A
		Msp_PlasticCrate,							*,			600,		A
		Msp_AmmoCrate,								*,			600,		A
		Msp_TackleBox,								*,			600,		A
		Msp_TackleBox_Black,						*,			600,		A
		Msp_CoolerBox,								*,			600,		A
		Msp_CoolerBox_Black,						*,			600,		A
		Msp_SmallFridge,							*,			1600,		A
		Msp_JackDanielsFridge,						*,			1600,		A
		Msp_GrenadeBox,								*,			1600,		A
		Msp_TreasureChest,							*,			1600,		A
		Msp_MedievalChest,							*,			1600,		A
		Msp_FireplaceRailing,						*,			30,			A
		Msp_EmptySquarePlanterBox,					*,			100,		A
		Msp_EmptyPlanterBox,						*,			600,		A
		Msp_FishingRodsRack_Kit,					*,			2000,		A
		Msp_GunCabinet_Kit,							*,			2000,		A
		Msp_GunRack_Kit,							*,			3000,		A
		Msp_DoubleGunRack_Kit,						*,			4000,		A
		Msp_MilitaryLocker_Kit,						*,			5000,		A
		Msp_Locker_Kit,								*,			5000,		A
		Msp_StorageBox_Kit,							*,			5000,		A
		Msp_ToolsBench_Blue_Kit,					*,			5000,		A
		Msp_ToolsBench_Grey_Kit,					*,			5000,		A
		Msp_ToolsBench_Red_Kit,						*,			5000,		A
		Msp_BlueFridge_Kit,							*,			5000,		A
		Msp_RetroBlueFridge_Kit,					*,			5000,		A
		Msp_RustyFridge_Kit,						*,			5000,		A
		Msp_Blue50sFridge_Kit,						*,			5000,		A
		Msp_50sFridge_Kit,							*,			5000,		A
		Msp_Freezer_Kit,							*,			5000,		A
		Msp_Gazebo_Kit,								*,			5000,		A
		Msp_StoneFireplace_Kit,						*,			5000,		A
		Msp_Greenhouse_Kit,							*,			5000,		A
		Msp_GreenhouseWood_Kit,						*,			5000,		A
		Msp_Bookcase_Kit,							*,			5000,		A
		OP_Lockerblue,								*,			300,		A
		OP_StorageCabinetSmall,						*,			2500,		A
		OP_StorageCabinetGrey,						*,			2500,		A
		OP_StorageCabinetBlack,						*,			2500,		A
		OP_StorageCabinetGreen,						*,			2500,		A
		OPLock,										*,			800,		A
	<Category> Base Furniture
		MD_StudentDesk_Kit,							*,			600,		A
		MD_TeacherDesk_Kit,							*,			600,		A
		MD_LabDesk_Kit,								*,			600,		A
		MD_CampTable_Small_Kit,						*,			600,		A
		MD_CampTable_Long_Kit,						*,			600,		A
		MD_TableDrawer_Kit,							*,			600,		A
		MD_OfficeTable_Kit,							*,			600,		A
		MD_ConferenceTable_Kit,						*,			600,		A
		MD_OfficeDesk_Kit,							*,			600,		A
		MD_KitchenCheckeredTable_Kit,				*,			600,		A
		MD_KitchenTable_Kit,						*,			600,		A
		MD_MarketTable_Kit,							*,			600,		A
		MD_OfficeChair_Kit,							*,			600,		A
		MD_StudentChair_Kit,						*,			600,		A
		MD_RedChair_Kit,							*,			600,		A
		MD_LobbyChair_Kit,							*,			600,		A
		MD_TentChair_Kit,							*,			600,		A
		MD_WoodenChair_Kit,							*,			600,		A
		MD_PaddedWoodenChair_Kit,					*,			600,		A
		MD_KitchenChair_Kit,						*,			600,		A
		MD_BrownWardrobe_Kit,						*,			1600,		A
		MD_GreenWardrobe_Kit,						*,			1600,		A
		MD_Bed_Double_Kit,							*,			600,		A
		MD_Bed_Folding_Kit,							*,			600,		A
		MD_Bed_Wood_Kit,							*,			600,		A
		BBP_BedKit,									*,			800,		A
		BBP_Bedding,								*,			120,		A
	<Category> Base Decorations
		BBP_Old_Lamp,								*,			600,		A
		BBP_Floor_Lamp,								*,			800,		A
		BBP_Sun_Shade,								*,			600,		A
		BBP_Painting,								*,			200,		A
		BBP_Painting_1,								*,			200,		A
		BBP_Painting_2,								*,			200,		A
		BBP_Xmas_Tree,								*,			400,		A
		BBP_MagnetBox,								*,			100,		A
		BBP_Letter_Large_A,							*,			100,		A
		BBP_Letter_Large_B,							*,			100,		A
		BBP_Letter_Large_C,							*,			100,		A
		BBP_Letter_Large_D,							*,			100,		A
		BBP_Letter_Large_E,							*,			100,		A
		BBP_Letter_Large_F,							*,			100,		A
		BBP_Letter_Large_G,							*,			100,		A
		BBP_Letter_Large_H,							*,			100,		A
		BBP_Letter_Large_I,							*,			100,		A
		BBP_Letter_Large_J,							*,			100,		A
		BBP_Letter_Large_K,							*,			100,		A
		BBP_Letter_Large_L,							*,			100,		A
		BBP_Letter_Large_M,							*,			100,		A
		BBP_Letter_Large_N,							*,			100,		A
		BBP_Letter_Large_O,							*,			100,		A
		BBP_Letter_Large_P,							*,			100,		A
		BBP_Letter_Large_Q,							*,			100,		A
		BBP_Letter_Large_R,							*,			100,		A
		BBP_Letter_Large_S,							*,			100,		A
		BBP_Letter_Large_T,							*,			100,		A
		BBP_Letter_Large_U,							*,			100,		A
		BBP_Letter_Large_V,							*,			100,		A
		BBP_Letter_Large_W,							*,			100,		A
		BBP_Letter_Large_X,							*,			100,		A
		BBP_Letter_Large_Y,							*,			100,		A
		BBP_Letter_Large_Z,							*,			100,		A
		BBP_Golf,									*,			80,			A
		BBP_Carpet,									*,			200,		A
		BBP_Wallpaper,								*,			200,		A
		MD_Crafting_Book,							*,			4000,		A
		MD_Box_C,									*,			4000,		A
		MD_TrashCan,								*,			15000,		A
		MD_GreenTrashCan,							*,			15000,		A
		MD_Small_WoodBox,							*,			1600,		A
		MD_Large_WoodBox,							*,			1600,		A
		MD_Flat_WoodBox,							*,			1600,		A
		MD_Bucket,									*,			600,		A
		MD_DeskGlobe,								*,			600,		A
		MD_TV,										*,			600,		A
		MD_OldRadio,								*,			600,		A
		MD_Radio,									*,			600,		A
		MD_Scale,									*,			600,		A
		MD_Cashier,									*,			600,		A
		MD_Clock,									*,			600,		A
		MD_ClothBag,								*,			600,		A
		MD_Canister,								*,			600,		A
		MD_Padlock,									*,			2000,		A
		MD_DarkWoodenCrate,							*,			1600,		A
		MD_PostBox_Kit,								*,			600,		A
		MD_PostBoxWall_Kit,							*,			600,		A
		MD_BlueBench_Kit,							*,			600,		A
		MD_Sunshade_Kit,							*,			600,		A
		MD_Fence_PipeFenceLarge_Kit,				*,			1000,		A
		MD_Fence_PipeRailing_Kit,					*,			500,		A
		MD_Fence_PipeFenceSmall_Kit,				*,			500,		A
		MD_Fence_WoodPole_Kit,						*,			500,		A
		MD_Fence_End_WoodPole_Kit,					*,			250,		A
		MD_Fence_Vineyard_Kit,						*,			500,		A
		MD_Fence_Forest_Kit,						*,			500,		A
		MD_Fence_End_Forest_Kit,					*,			250,		A
		MD_Fence_WoodGrid_Kit,						*,			500,		A
		MD_Fence_End_WoodGrid_Kit,					*,			250,		A
		MD_Fence_MetalGrid_Kit,						*,			500,		A
		MD_Fence_End_MetalGrid_Kit,					*,			250,		A
		MD_Fence_Field_Kit,							*,			500,		A
		MD_Fence_End_Field_Kit,						*,			250,		A
		MD_Fence_Gate_Forest_Kit,					*,			500,		A
		MD_Gate_TallSliding_Kit,					*,			500,		A
		MD_Gate_ShortSliding_Kit,					*,			500,		A
		MD_Double_Gate_MetalFence1_Kit,				*,			500,		A
		MD_Double_Gate_MetalFence2_Kit,				*,			500,		A
		MD_Double_Gate_TinFence1_Kit,				*,			500,		A
		MD_Double_Gate_TinFence2_Kit,				*,			500,		A
	<Category> Buildings
		OP_ShedKit,									*,			250,		A
		MD_NewsStand1_Kit,							*,			30000,		A
		MD_NewsStand2_Kit,							*,			30000,		A
		MD_FastFoodStand_Kit,						*,			30000,		A
		MD_GroceryStand_Kit,						*,			30000,		A
		MD_CampHouse_White_Kit,						*,			30000,		A
		MD_CampHouse_Brown_Kit,						*,			30000,		A
		MD_CampHouse_Red_Kit,						*,			30000,		A
		MD_Caravan_WGreen_Kit,						*,			30000,		A
		MD_Caravan_WBrown_Kit,						*,			30000,		A
		MD_Caravan_MRust_Kit,						*,			30000,		A
		MD_Polytunnel_Kit,							*,			30000,		A
		MD_Greenhouse_Kit,							*,			30000,		A
		MD_Shed_M1_Kit,								*,			30000,		A
		MD_Shed_M3_Kit,								*,			30000,		A
		MD_Shed_M4_Kit,								*,			30000,		A
		MD_Shed_W1_Kit,								*,			30000,		A
		MD_Shed_W2_Kit,								*,			30000,		A
		MD_Shed_W3_Kit,								*,			30000,		A
		MD_Shed_W4_Kit,								*,			30000,		A
		MD_Shed_W5_Kit,								*,			30000,		A
		MD_Medical_Tent_Large_Kit,					*,			10000,		A
		MD_CamonetShelter_Kit,						*,			600,		A
		MD_CamonetShelter_BE_Kit,					*,			600,		A
		MD_CamonetShelter_BN_Kit,					*,			600,		A
		MD_CamonetShelter_RE_Kit,					*,			600,		A
		MD_CamonetShelter_RN_Kit,					*,			600,		A
		MD_CamonetShelter_SE_Kit,					*,			600,		A
		MD_CamonetShelter_SN_Kit,					*,			600,		A
		MD_SlumShelter_LightBlue_Kit,				*,			600,		A
		MD_SlumShelter_DarkBlue_Kit,				*,			600,		A
		MD_SlumShelter_ThinBlue_Kit,				*,			600,		A
		MD_SlumShelter_SmallMetal_Kit,				*,			600,		A
		MD_SlumShelter_LargeMetal_Kit,				*,			600,		A
	<Category> Seeds & Lime
		TomatoSeedsPack,							*,			50,			A
		PepperSeedsPack,							*,			50,			A
		ZucchiniSeedsPack,							*,			60,			A
		PumpkinSeedsPack,							*,			100,		A
		GardenLime,									*,			75,			A
		GardenLime_1,								*,			75,			A
		GardenLime_2,								*,			75,			A
		GardenLime_3,								*,			75,			A
	<Category> Fluffy Pets
		Bear_Beige,									*,			50,			A
		Bear_Dark,									*,			50,			A
		Bear_Pink,									*,			50,			A
		Bear_White,									*,			50,			A
		Msp_Bunny,									*,			60,			A
<Trader> Weapon Trader // ID=2
	<Category> Melee
		BrassKnuckles_Shiny,						W,			20,			A
		StunBaton,									W,			15,			A
		CattleProd,									W,			25,			A
		CombatKnife,								W,			60,			A
		bowieknife_mung,							W,			200,		A
		MSFC_Huntsman_Knife,						W,			200,		A
		Msp_VorpalKnife,							W,			250,		A
		cricket_bat_mung,							W,			45,			A
		BaseballBat,								W,			35,			A
		NailedBaseballBat,							W,			45,			A
		Msp_PlainBat,								W,			50,			A
		Msp_PlainBat_Blue,							W,			50,			A
		Msp_PlainBat_Black,							W,			50,			A
		Msp_GoodNightBat,							W,			100,		A
		Msp_BlunderBat,								W,			200,		A
		Msp_BeanBasher,								W,			200,		A
		Msp_PipeAxe,								W,			200,		A
		katana_Mung,								W,			500,		A
		Msp_BassAxe,								W,			500,		A
	<Category> Sidearms
		MKII,										W,			250,		A
		MakarovIJ70,								W,			275,		A
		CZ75,										W,			350,		A
		lebedev_PL15_mung,							W,			400,		A
		MassG18,									W,			500,		A
		MassG18_Green,								W,			500,		A
		Glock19,									W,			400,		A
		MSFC_P250,									W,			425,		A
		Mass357M1911,								W,			450,		A
		FNX45,										W,			450,		A
		Mk22,										W,			475,		A
		Colt1911,									W,			500,		A
	<Category> Rifles
		Repeater,									W,			500,		A
		Izh18,										W,			450,		A
		MassScout556,								W,			1000,		A
		CZ527,										W,			500,		A
		B95,										W,			1700,		A
		Mosin9130,									W,			400,		A
		MSFC_Mosin9130_WHITE,						W,			450,		A
		MSFC_Mosin9130_ATACS_AU,					W,			450,		A
		MSFC_Mosin9130_ATACS_FG,					W,			450,		A
		MSFC_Mosin9130_BLUE,						W,			450,		A
		MSFC_Mosin9130_EMR,							W,			450,		A
		MSFC_Mosin9130_Flecktarn,					W,			450,		A
		MSFC_Mosin9130_HEX,							W,			450,		A
		MSFC_Mosin9130_MARPAT_WD,					W,			450,		A
		MSFC_Mosin9130_MULTICAM,					W,			450,		A
		MSFC_Mosin9130_MULTICAM_BLACK,				W,			450,		A
		MSFC_Mosin9130_MULTICAM_TROPIC,				W,			450,		A
		MSFC_Mosin9130_SNAKE,						W,			450,		A
		MSFC_Mosin9130_SNAKE_GREEN,					W,			450,		A
		MSFC_Mosin9130_SURPAT,						W,			450,		A
		MSFC_Mosin9130_VIPER_WESTERN,				W,			450,		A
		MSFC_Mosin9130_Woodland,					W,			450,		A
		MSFC_Mosin9130_SURPAT_TAN,					W,			450,		A
		MSFC_Mosin9130_ORANGE,						W,			450,		A
		MSFC_Mosin9130_RED,							W,			450,		A
		MSFC_Mosin9130_DARK,						W,			450,		A
		MSFC_Mosin9130_MATRIX,						W,			450,		A
		MSFC_Mosin9130_REDBLACKWHITE,				W,			450,		A
		MSFC_Mosin9130_Honeycomb,					W,			450,		A
		MSFC_Mosin9130_STAR,						W,			450,		A
